model,MAE,RMSE,sMAPE,city,horizon
Naive,2.2286,2.6662,11.4238,London,7
SeasonalNaive,2.5571,3.2078,13.3512,London,7
SARIMA,2.1408,2.9733,11.0034,London,7
Prophet,1.4838,1.8656,7.5226,London,7
ML_GBR,2.0967,2.7342,10.7036,London,7
Ensemble,1.9198,2.4163,9.7641,London,7
Naive,1.7857,2.2932,9.7055,London,14
SeasonalNaive,1.9714,2.5459,10.8061,London,14
SARIMA,1.7765,2.4645,9.6587,London,14
Prophet,1.8929,2.3163,10.3111,London,14
ML_GBR,1.6372,2.1981,8.9416,London,14
Ensemble,1.5931,2.137,8.6414,London,14
Naive,3.8286,4.4097,17.7201,Paris,7
SeasonalNaive,2.7714,3.9943,12.4856,Paris,7
SARIMA,2.9784,3.7053,13.4617,Paris,7
Prophet,1.4274,1.7903,6.2652,Paris,7
ML_GBR,1.3635,1.4553,6.0553,Paris,7
Ensemble,1.7837,2.2708,7.7876,Paris,7
Naive,2.7071,3.3927,13.2512,Paris,14
SeasonalNaive,2.9643,3.9028,14.4439,Paris,14
SARIMA,2.9085,3.6536,14.1512,Paris,14
Prophet,2.7133,3.1867,13.292,Paris,14
ML_GBR,1.513,1.6142,7.5376,Paris,14
Ensemble,2.1502,2.6349,10.5417,Paris,14
Naive,4.0429,4.3901,14.2057,Tokyo,7
SeasonalNaive,5.0,5.5536,15.8168,Tokyo,7
SARIMA,3.2885,3.5223,10.4525,Tokyo,7
Prophet,2.2417,2.568,7.3095,Tokyo,7
ML_GBR,1.6262,1.8597,5.5479,Tokyo,7
Ensemble,1.5127,1.7297,4.9947,Tokyo,7
Naive,6.05,6.5313,20.447,Tokyo,14
SeasonalNaive,4.0071,4.9409,12.5335,Tokyo,14
SARIMA,2.9527,3.373,9.0871,Tokyo,14
Prophet,2.8868,3.2245,9.0834,Tokyo,14
ML_GBR,1.7293,1.9378,5.523,Tokyo,14
Ensemble,2.1242,2.4496,6.6559,Tokyo,14
Naive,3.9143,4.5717,11.3818,Cairo,7
SeasonalNaive,4.5571,4.9689,14.0356,Cairo,7
SARIMA,2.8909,3.511,8.8803,Cairo,7
Prophet,3.4915,4.0751,10.8483,Cairo,7
ML_GBR,1.198,1.3428,3.6447,Cairo,7
Ensemble,2.0567,2.2234,6.2828,Cairo,7
Naive,5.0214,5.664,14.8233,Cairo,14
SeasonalNaive,3.5786,4.3272,11.0184,Cairo,14
SARIMA,2.7869,3.3554,8.6022,Cairo,14
Prophet,2.9039,3.6913,9.1643,Cairo,14
ML_GBR,1.2372,1.4864,3.8902,Cairo,14
Ensemble,1.946,2.2048,6.0371,Cairo,14
Naive,2.2714,2.6589,12.3453,Moscow,7
SeasonalNaive,2.3714,3.1713,12.2339,Moscow,7
SARIMA,3.0923,3.4147,16.2493,Moscow,7
Prophet,2.1836,2.6797,11.9009,Moscow,7
ML_GBR,1.6983,2.2653,9.4414,Moscow,7
Ensemble,1.7871,2.1852,9.7759,Moscow,7
Naive,3.2071,3.7845,18.6149,Moscow,14
SeasonalNaive,2.9643,3.6582,16.773,Moscow,14
SARIMA,3.5655,3.9654,20.1904,Moscow,14
Prophet,3.6873,4.5594,20.9185,Moscow,14
ML_GBR,1.9452,2.4519,11.6101,Moscow,14
Ensemble,2.3032,2.7492,13.783,Moscow,14
